,,,,Outputs (3 total),,,Factor Settings (17 total),,,,,,,,,,,,,,,,,,,,,
Year ,Person,Runs,Energy Use (kWh),Global Warming Potenital (kg CO2eq),Human Health Particulate (kg PM2.5 eq,Annual Energy Cost ($),Roof: Ext Finish/Color,Roof: Exterior Insulation,Roof: Add'l Insulation,AGW: Ext Finish/Color,AGW: Exterior Insulation,AGW: Interior Insulation,AGW: Add'l Insulation,Ceilings: Batt Insulation,Vertical Walls: Batt Insulation,Glass Category,Glass Type,Frame Type,System 1: Heating Source,System 1: System Type,Supply Fans,Heater Fuel,Heater Type,,,,,
2022,Rashreal,1,4994.6,225000,648,868,Light,0,0,Light,10.5,4,13,0,19,Double Low E,2600,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Split System Single Zone,Variable,Gas,Storage,,,,,
2022,Rashreal,2,5757.7,238000,735,925,Dark,0,19,Light,10.5,4,13,0,19,Triple Low E,3662,"Wood, Fixed Mlt Spacer",Electric Resistance,Packaged VVT,Two-Speed,Electricity,instantaneous,,,,,
2022,Rashreal,3,3502,165000,461,644,Dark,4,19,Dark,21,4,13,0,21,Triple Low E,3662,"Fiberglass, Fixed, Mlt spacer",DX Coils,Split System Single Zone,Variable,Gas,Storage,,,,,
2022,Rashreal,4,4575,190000,586,747,Light,4,0,Light,10.5,0,19,0,19,Triple Low E,3662,"Fiberglass, Fixed, Mlt spacer",DX Coils,Packaged VVT,Variable,Electricity,Storage,,,,,
2022,Rashreal,5,3874,179000,508,700,Dark,4,19,Light,10.5,0,19,0,19,Double Low E,2600,"Wood, Fixed Mlt Spacer",DX Coils,Split System Single Zone,Two-Speed,Gas,instantaneous,,,,,
2022,Rashreal,6,4715.9,213000,613,826,Light,0,19,Dark,21,0,19,0,21,Double Low E,2634,"Wood, Fixed Mlt Spacer",Electric Resistance,Packaged VVT,Two-Speed,Gas,Storage,,,,,
2022,Rashreal,7,5676,235000,724,912,Dark,0,0,Light,21,0,19,0,21,Double Low E,2634,"Wood, Fixed Mlt Spacer",Electric Resistance,Split System Single Zone,Variable,Electricity,Storage,,,,,
2022,Rashreal,8,3786.9,176000,497,687,Light,4,0,Dark,10.5,4,19,0,21,Triple Low E,3601,"Wood, Fixed Mlt Spacer",DX Coils,Packaged VVT,Two-Speed,Gas,Storage,,,,,
2022,Rashreal,9,4683.3,195000,600,763,Dark,4,0,Dark,21,0,13,0,19,Double Low E,2634,"Fiberglass, Fixed, Mlt spacer",DX Coils,Packaged VVT,Two-Speed,Electricity,instantaneous,,,,,
2022,Rashreal,10,4602.2,192000,590,751,Light,4,19,Light,21,4,13,0,21,Double Low E,2600,"Wood, Fixed Mlt Spacer",DX Coils,Split System Single Zone,Variable,Electricity,instantaneous,,,,,
2022,Rashreal,11,4740,215000,616,829,Dark,0,0,Dark,21,4,19,0,19,Triple Low E,3601,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Split System Single Zone,Two-Speed,Gas,instantaneous,,,,,
2022,Rashreal,12,5836.9,242000,744,936,Light,0,19,Dark,10.5,0,13,0,21,Triple Low E,3601,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Packaged VVT,Variable,Electricity,instantaneous,,,,,
2022,Rashreal,13,4664.3,212000,607,818,Dark,4,19,Light,21,0,19,0,21,Triple Low E,3601,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Packaged VVT,Variable,Gas,instantaneous,,,,,
2022,Rashreal,14,4779.4,198000,612,778,Dark,0,0,Dark,10.5,4,19,0,21,Double Low E,2600,"Wood, Fixed Mlt Spacer",DX Coils,Packaged VVT,Variable,Electricity,instantaneous,,,,,
2022,Rashreal,15,4667.1,194000,598,761,Light,0,19,Dark,21,0,13,0,19,Triple Low E,3601,"Wood, Fixed Mlt Spacer",DX Coils,Split System Single Zone,Two-Speed,Electricity,Storage,,,,,
2022,Rashreal,16,3671,171000,482,669,Light,0,0,Light,21,4,13,0,21,Double Low E,2634,"Fiberglass, Fixed, Mlt spacer",DX Coils,Packaged VVT,Two-Speed,Gas,instantaneous,,,,,
2022,Rashreal,17,5521.1,229000,705,889,Light,4,0,Dark,21,4,19,0,19,Triple Low E,3662,"Wood, Fixed Mlt Spacer",Electric Resistance,Split System Single Zone,Variable,Electricity,instantaneous,,,,,
2022,Rashreal,18,6003.4,248000,765,961,Dark,4,0,Dark,10.5,0,13,0,21,Double Low E,2600,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Split System Single Zone,Two-Speed,Electricity,Storage,,,,,
2022,Rashreal,19,5727.6,237000,730,920,Light,4,19,Light,21,4,19,0,19,Double Low E,2600,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Packaged VVT,Two-Speed,Electricity,Storage,,,,,
2022,Rashreal,20,4961.4,224000,644,863,Light,4,0,Light,10.5,0,13,0,21,Triple Low E,3662,"Wood, Fixed Mlt Spacer",Electric Resistance,Split System Single Zone,Two-Speed,Gas,instantaneous,,,,,
2022,Rashreal,21,3741.3,174000,491,680,Light,0,19,Dark,10.5,0,19,0,19,Double Low E,2634,"Fiberglass, Fixed, Mlt spacer",DX Coils,Split System Single Zone,Variable,Gas,instantaneous,,,,,
2022,Rashreal,22,4572,190000,586,747,Dark,0,19,Light,10.5,4,19,0,21,Triple Low E,3662,"Fiberglass, Fixed, Mlt spacer",DX Coils,Split System Single Zone,Two-Speed,Electricity,Storage,,,,,
2022,Rashreal,23,3669.5,171000,483,669,Dark,0,0,Light,21,0,13,0,19,Triple Low E,3601,"Wood, Fixed Mlt Spacer",DX Coils,Packaged VVT,Variable,Gas,Storage,,,,,
2022,Rashreal,24,4771.4,216000,620,835,Dark,4,19,Dark,10.5,4,13,0,19,Double Low E,2634,"Wood, Fixed Mlt Spacer",Electric Resistance,Packaged VVT,Variable,Gas,Storage,,,,,
2022,Vishnu/Suman,25,5558.4,245000,776,895,Light,0,0,Light,21,0,19,21,21,Triple Low E,3601,"Fiberglass, Fixed, Mlt spacer",DX Coils,Split System Single Zone,Two-Speed,Electricity,instantaneous,,,,,
2022,Vishnu/Suman,26,5479.8,251000,776,865,Light,4,0,Dark,21,0,13,21,19,Double Low E,2600,"Wood, Fixed Mlt Spacer",Electric Resistance,Packaged VVT,Variable,Gas,instantaneous,,,,,
2022,Vishnu/Suman,27,6406.8,293000,895,1022,Light,4,19,Dark,10.5,4,19,21,21,Double Low E,2634,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Split System Single Zone,Two-Speed,Electricity,instantaneous,,,,,
2022,Vishnu/Suman,28,5991.9,274000,837,960,Dark,4,0,Light,21,4,13,21,21,Triple Low E,3601,"Wood, Fixed Mlt Spacer",Electric Resistance,Packaged VVT,Two-Speed,Electricity,Storage,,,,,
2022,Vishnu/Suman,29,4412.9,202000,616,744,Dark,0,0,Dark,10.5,0,13,21,21,Triple Low E,3662,"Wood, Fixed Mlt Spacer",DX Coils,Split System Single Zone,Variable,Gas,instantaneous,,,,,
2022,Vishnu/Suman,30,5262.5,241000,735,850,Dark,0,19,Dark,21,4,19,21,19,Double Low E,2600,"Fiberglass, Fixed, Mlt spacer",DX Coils,Packaged VVT,Variable,Electricity,Storage,,,,,
2022,Vishnu/Suman,31,3527.7,161000,493,590,Dark,0,19,Light,10.5,0,13,21,21,Double Low E,2600,"Fiberglass, Fixed, Mlt spacer",DX Coils,Packaged VVT,Two-Speed,Gas,Storage,,,,,
2022,Vishnu/Suman,32,3943.3,180000,551,652,Light,0,19,Light,21,4,19,21,19,Triple Low E,3662,"Wood, Fixed Mlt Spacer",DX Coils,Packaged VVT,Variable,Gas,instantaneous,,,,,
2022,Vishnu/Suman,33,6538.2,299000,913,1042,Dark,4,19,Dark,10.5,0,19,21,19,Triple Low E,3601,"Wood, Fixed Mlt Spacer",Electric Resistance,Split System Single Zone,Variable,Electricity,Storage,,,,,
2022,Vishnu/Suman,34,3543,162000,495,864,Light,4,19,Light,21,0,13,21,19,Triple Low E,3662,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Split System Single Zone,Two-Speed,Gas,Storage,,,,,
2022,Vishnu/Suman,35,4547.4,208000,635,743,Dark,4,0,Light,10.5,4,19,21,21,Double Low E,2634,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Packaged VVT,Variable,Gas,instantaneous,,,,,
2022,Vishnu/Suman,36,4547.5,208000,635,743,Light,0,0,Dark,10.5,4,13,21,19,Double Low E,2634,"Wood, Fixed Mlt Spacer",DX Coils,Split System Single Zone,Two-Speed,Electricity,Storage,,,,,
2022,Vishnu/Suman,37,4472.6,205000,625,732,Light,4,19,Light,10.5,0,13,21,21,Double Low E,2634,"Wood, Fixed Mlt Spacer",DX Coils,Packaged VVT,Variable,Electricity,Storage,,,,,
2022,Vishnu/Suman,38,3467.2,207000,633,581,Dark,4,0,Light,21,4,19,21,19,Double Low E,2634,"Wood, Fixed Mlt Spacer",DX Coils,Split System Single Zone,Two-Speed,Gas,Storage,,,,,
2022,Vishnu/Suman,39,4529.9,207000,633,740,Dark,0,0,Dark,10.5,0,19,21,19,Triple Low E,3662,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Packaged VVT,Two-Speed,Gas,Storage,,,,,
2022,Vishnu/Suman,40,5655.5,259000,790,909,Dark,0,19,Light,21,0,13,21,19,Double Low E,2634,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Split System Single Zone,Variable,Electricity,instantaneous,,,,,
2022,Vishnu/Suman,41,4526.5,207000,632,740,Light,0,19,Light,10.5,4,19,21,21,Triple Low E,3601,"Wood, Fixed Mlt Spacer",Electric Resistance,Split System Single Zone,Variable,Gas,Storage,,,,,
2022,Vishnu/Suman,42,3584.2,159000,484,598,Light,4,19,Dark,10.5,4,13,21,19,Triple Low E,3601,"Fiberglass, Fixed, Mlt spacer",DX Coils,Packaged VVT,Two-Speed,Gas,instantaneous,,,,,
2022,Vishnu/Suman,43,4518.5,207000,631,738,Dark,4,0,Light,10.5,4,13,21,19,Triple Low E,3601,"Fiberglass, Fixed, Mlt spacer",DX Coils,Split System Single Zone,Variable,Electricity,instantaneous,,,,,
2022,Vishnu/Suman,44,4520.4,207000,631,739,Dark,0,19,Dark,21,4,13,21,21,Double Low E,2600,"Wood, Fixed Mlt Spacer",Electric Resistance,Split System Single Zone,Two-Speed,Gas,instantaneous,,,,,
2022,Vishnu/Suman,45,5272.3,241000,736,852,Light,0,0,Dark,21,4,13,21,21,Triple Low E,3662,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Packaged VVT,Variable,Electricity,Storage,,,,,
2022,Vishnu/Suman,46,5721.2,262000,799,919,Light,0,0,Light,10.5,0,19,21,19,Double Low E,2600,"Wood, Fixed Mlt Spacer",Electric Resistance,Packaged VVT,Two-Speed,Electricity,instantaneous,,,,,
2022,Vishnu/Suman,47,4369.8,200000,610,716,Dark,4,19,Dark,21,0,19,21,21,Triple Low E,3662,"Wood, Fixed Mlt Spacer",DX Coils,Packaged VVT,Two-Speed,Electricity,instantaneous,,,,,
2022,Vishnu/Suman,48,3543,162000,495,592,Light,4,0,Dark,21,0,19,21,21,Double Low E,2600,"Fiberglass, Fixed, Mlt spacer",DX Coils,Split System Single Zone,Variable,Gas,Storage,,,,,
2023,Laura,49,4528,187000,619,740,Uncolored,36,49,Uncolored,2,4,3,15,0,Single Low-E,1601,"Alum w/ Brk, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,Laura,50,4176,174000,604,687,Uncolored,35,38,Medium,1.3,4,11,13,19,Single Low-E,1600,"Reinf'd Vinyl, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,Laura,51,4090.2,169000,566,674,Aluminum Paint,24,11,Uncolored,7,7,7,7,11,Single Low-E,1601,"Reinf'd Vinyl, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,Laura,52,3989.4,166000,554,659,Aluminum Paint,20,38,Medium,14,4,15,60,21,Single Low-E,1600,"Alum w/ Brk, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,Laura,53,4642.8,192000,636,757,Aluminum Paint,36,19,Medium,2,0,3,49,13,Single Low-E,1602,"Alum w/ Brk, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,Laura,54,4352,182000,601,714,Aluminum Paint,4,49,Uncolored,4,4,0,60,13,Single Low-E,1602,"Reinf'd Vinyl, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,Laura,55,4116.4,173000,570,678,Uncolored,36,38,Medium,12,4,0,45,0,Single Low-E,1602,"Reinf'd Vinyl, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,Laura,56,4016,167000,554,663,Uncolored,0,3,Uncolored,14,4,13,11,13,Single Low-E,1602,"Alum w/ Brk, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,James,57,4042.4,167000,560,667,Aluminum Paint,35,49,Uncolored,14,0,7,0,21,Double Low-E,2630,"Alum w/ Brk, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,James,58,4168,173000,578,686,Aluminum Paint,12,0,Medium,0,4,11,38,19,Double Low-E,2610,"Reinf'd Vinyl, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,James,59,4192.6,175000,579,690,Uncolored,9,30,Uncolored,21,0,7,3,0,Double Low-E,2631,"Reinf'd Vinyl, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,James,60,3985.8,167000,553,659,Uncolored,30,13,Medium,18,6,3,15,30,Double Low-E,2611,"Alum w/ Brk, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,James,61,3928.4,164000,545,650,Uncolored,24,60,Medium,14,7,13,21,13,Double Low-E,2633,"Alum w/ Brk, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,James,62,3904,163000,542,646,Uncolored,28,38,Uncolored,21,0,11,26,30,Double Low-E,2613,"Reinf'd Vinyl, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,James,63,3994.5,166000,556,660,Aluminum Paint,4,30,Medium,6,4,7,21,30,Double Low-E,2634,"Reinf'd Vinyl, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,James,64,4081,170000,565,673,Aluminum Paint,12,11,Uncolored,12,0,3,60,21,Double Low-E,2614,"Alum w/ Brk, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,Vishnu/Soulmaz,65,4081.7,170000,566,673,Aluminum Paint,42,21,Medium,10.5,4,3,3,11,Triple Low-E Film,3651,"Alum w/ Brk, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,Vishnu/Soulmaz,66,3855.2,161000,538,639,Aluminum Paint,18,49,Uncolored,18,4,7,30,30,Triple Low-E Film,3641,"Reinf'd Vinyl, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,Vishnu/Soulmaz,67,3854.7,161000,537,639,Uncolored,36,7,Medium,18,0,13,38,13,Triple Low-E Film,3652,"Reinf'd Vinyl, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,Vishnu/Soulmaz,68,4133.9,171000,571,681,Uncolored,18,49,Uncolored,2,4,7,11,21,Triple Low-E Film,3642,"Alum w/ Brk, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,Vishnu/Soulmaz,69,4108.9,170000,568,677,Uncolored,14,38,Uncolored,9,0,3,19,19,Triple Low-E Film,3671,"Alum w/ Brk, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
2023,Vishnu/Soulmaz,70,3994,167000,555,660,Uncolored,18,60,Medium,4,0,15,30,30,Triple Low-E Film,3661,"Reinf'd Vinyl, Fixed, Mtl Spacer",DX Coils,Split System Single Zone,Forward Curved Centrifugal w/ Inlet Vanes,Electricity,Storage,,,,,
